Manufacturer,Model,Price,Transmission,Power,Engine CC,Total,Manufacturer_le,Model_freq,Fuel_automatic,Fuel_diesel,Fuel_petrol
Volvo,C30,32.4898913,5.304347826,113.2826087,2093.021739,24611,51,9,0,0,1
Hyundai,Accent,14.293,4.6,75.4,1479.0,23665,19,19,0,0,1
Volkswagen,Lupo,13.88308333,4.75,47.75,1373.75,22660,50,15,0,0,1
Mercedes,Sprinter,43.06842105,6.254385965,104.2017544,2222.710526,22529,30,19,0,1,0
Hyundai,Ix35,38.9,5.84,113.84,1926.0,22359,19,4,0,1,0
Renault,Kangoo,18.76848837,4.860465116,67.02325581,1391.023256,22091,38,14,0,1,0
Mazda,5,22.12540909,5.5,75.09090909,1622.681818,22045,29,9,0,0,1
Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,21858,50,20,0,0,1
Seat,Alhambra,49.82277778,6.0,115.8333333,1746.944444,21553,41,17,0,0,1
Renault,Espace,59.0,7.0,166.0,1798.0,21272,38,20,0,0,1
Suzuki,Ignis,19.45142857,3.571428571,61.0,1197.0,21225,46,13,0,0,1
Suzuki,SX4,20.6695,4.75,88.0,1586.0,21177,46,8,0,0,1
Kia,Carens,31.195,6.0,105.875,1755.75,20483,21,13,0,0,1
Audi,Q5,64.50769231,6.846153846,144.2307692,2048.538462,20393,3,5,0,1,0
Mercedes,CLA,46.5274,7.04,131.6,1596.92,20253,30,33,0,0,1
Peugeot,Partner,20.36464286,5.857142857,82.25,1534.392857,20090,36,12,0,1,0
Subaru,Forester,51.646,0.0,110.0,1995.0,20054,45,16,0,0,1
Skoda,Yeti,30.351,6.3,83.5,1452.3,20048,42,4,0,0,1
Volkswagen,Touareg,94.098125,8.0,190.0,2967.0,19938,50,10,0,1,0
Fiat,Seicento,8.17,5.0,40.0,1108.0,19546,16,16,0,0,1
Skoda,Superb,39.725,6.8,110.0,1592.0,19529,42,11,0,0,1
Fiat,Bravo,22.455,6.0,92.30769231,1466.307692,19515,16,18,0,0,1
BMW,X1,51.44133333,7.2,123.9333333,1863.133333,19427,4,4,0,1,0
Audi,Q7,106.5488889,8.0,210.0,2976.333333,18804,3,8,0,1,0
Alfa-Romeo,147,25.3433871,5.193548387,95.09677419,1802.774194,18359,1,13,0,0,1
Toyota,MR2,34.19,6.0,103.0,1794.0,18178,48,20,0,0,1
BMW,740i,115.533,8.0,250.0,2998.0,17860,4,20,0,0,1
MG,TF,32.09,4.0,98.2,1754.4,17730,27,12,0,0,1
Volvo,S80,50.94,6.266666667,138.2833333,1986.766667,17624,51,15,0,1,0
Volkswagen,Fox,12.49833333,5.0,48.66666667,1336.666667,17617,50,8,0,0,1
Renault,Twingo,14.94,5.2,59.6,958.6,17134,38,6,0,0,1
Mitsubishi,Lancer,23.01661538,4.730769231,90.88461538,1709.538462,17083,32,20,0,0,1
Fiat,Doblo,25.17006452,5.516129032,79.30645161,1523.741935,17070,16,12,0,1,0
Volkswagen,Eos,42.2862,6.0,113.8,1740.0,17059,50,8,0,0,1
BMW,M3,135.1055,6.5,309.0,3999.0,16974,4,19,0,0,1
Chrysler,PT,29.88478947,4.736842105,109.1052632,2238.631579,16872,7,14,0,0,1
Hyundai,Matrix,18.513,4.6,76.0,1599.0,16641,19,12,0,0,1
Toyota,IQ,17.31777778,3.666666667,58.44444444,1152.888889,16461,48,5,0,0,1
Mercedes,SLS,264.675,7.0,420.0,6208.0,16431,30,19,0,0,1
Audi,A2,23.0525,5.0,55.0,1406.0,16412,3,13,0,0,1
BMW,Z3,39.7374,4.6,115.0,2234.4,15691,4,17,0,0,1
Volvo,C70,52.19640625,5.3125,126.5,2323.9375,15613,51,14,0,0,1
Skoda,Roomster,20.9225,5.375,68.875,1272.4375,15469,42,7,0,0,1
Suzuki,Splash,13.1466,4.8,55.4,1144.8,15258,46,6,0,0,1
Toyota,Previa,43.08,4.666666667,105.0,2239.666667,15233,48,20,0,0,1
Toyota,Starlet,11.389,4.142857143,53.0,1308.285714,14623,48,20,0,0,1
Chevrolet,Aveo,18.615,5.2,69.6,1330.4,14512,6,5,0,0,1
Volvo,XC70,58.46907407,6.444444444,148.5185185,2174.037037,14267,51,11,0,1,0
Hyundai,Tucson,41.59161538,6.461538462,111.3076923,1624.769231,14262,19,10,0,0,1
Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,14210,45,20,0,0,1
Porsche,Cayenne,158.976,8.0,326.0,3295.0,14183,37,11,0,0,1
Alfa-Romeo,156,32.898125,5.333333333,116.2916667,2081.375,13956,1,16,0,0,1
BMW,640i,114.8758333,8.0,235.0,2979.0,13667,4,20,0,0,1
Chevrolet,Spark,11.395,5.0,52.5,1047.75,13571,6,4,0,0,1
Chevrolet,Kalos,14.22409091,4.727272727,64.45454545,1353.363636,13539,6,9,0,0,1
Mitsubishi,Outlander,37.44666667,2.611111111,120.3333333,2085.055556,13500,32,10,0,0,1
Nissan,Pixo,9.465666667,4.666666667,50.0,996.0,13409,34,5,0,0,1
Honda,FR-V,33.12857143,5.285714286,103.0,1914.714286,13241,18,9,0,0,1
Daihatsu,Sirion,14.333375,4.5625,59.875,1183.25,12986,11,15,0,0,1
Rover,Mini,7.92,4.0,33.33333333,868.3333333,12979,39,20,0,0,1
Kia,Venga,23.58666667,5.25,81.16666667,1509.75,12936,21,4,0,0,1
Ford,Streetka,26.0,5.0,70.0,1597.0,12875,17,11,0,0,1
Skoda,Felicia,11.370625,5.0,48.0,1518.0,12744,42,19,0,0,1
Nissan,Terrano,37.01736842,4.736842105,97.57894737,2697.368421,12739,34,20,0,1,0
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,12720,32,49,0,0,1
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,12717,32,18,0,0,1
Chevrolet,Lacetti,18.76285714,4.714285714,80.42857143,1612.928571,12710,6,9,0,0,1
MG,ZT,42.74666667,5.0,128.5,2548.833333,12606,27,12,0,0,1
Mercedes,CLC,42.5595,6.166666667,131.6666667,2313.666667,12207,30,6,0,0,1
Land-Rover,Defender,108.7471951,7.853658537,207.6097561,2304.97561,12128,24,20,0,1,0
Seat,Arosa,13.70454545,4.818181818,47.45454545,1384.0,11922,41,16,0,0,1
MG,ZS,30.99,0.0,105.0,335.0,11617,27,13,1,0,0
Honda,HR-V,32.723,3.6,96.0,1498.0,11528,18,15,0,0,1
Smart,City-coupe,13.2053,6.0,35.8,679.0,10805,43,11,0,0,1
Daihatsu,Terios,26.19775,4.625,77.0,1495.0,10774,11,16,0,0,1
Toyota,Carina,17.44569231,4.692307692,68.26923077,1791.230769,10770,48,20,0,0,1
Fiat,Multipla,25.2075,5.0,80.5,1753.0,10294,16,14,0,0,1
Audi,A8,116.545,8.0,230.0,2981.0,10075,3,15,0,0,1
Kia,Soul,33.495,0.0,81.0,285.0,10068,21,5,1,0,0
Skoda,Citigo,12.6825,5.0,45.0,999.0,9231,42,2,0,0,1
Suzuki,Liana,18.88233333,4.666666667,74.0,1523.333333,9215,46,12,0,0,1
Bentley,Continental,285.247,7.2,428.2,5577.8,9032,5,10,0,0,1
Chevrolet,Captiva,55.62,6.0,145.75,2460.75,9001,6,6,0,0,1
Nissan,Pathfinder,60.9552,5.5,146.0,2588.6,8957,34,9,0,1,0
Peugeot,205,13.11525,4.75,50.875,1430.75,8943,36,20,0,0,1
Saab,900,37.00904545,4.590909091,114.6818182,2208.090909,8754,40,20,0,0,1
Ford,B-MAX,22.91875,5.25,75.5,1288.5,8684,17,2,0,0,1
Volvo,940,30.236875,4.5,110.0,2316.0,8669,51,20,0,0,1
Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,8614,41,20,0,0,1
Hyundai,Ix20,27.4066,6.0,89.0,1552.0,8607,19,3,0,0,1
Volvo,850,36.38445588,4.5,125.7058824,2294.764706,8567,51,20,0,0,1
Toyota,Verso-S,22.047,3.6,73.0,1329.0,8512,48,3,0,0,1
Audi,S3,60.87,6.75,228.0,1984.0,8342,3,14,0,0,1
Alfa-Romeo,159,43.26150943,5.905660377,135.3773585,2276.0,8258,1,7,0,1,0
Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,8036,10,17,0,0,1
Smart,Forfour,24.674,0.0,60.0,160.0,7966,43,9,1,0,0
Citroen,C8,45.59125,5.25,104.1666667,2027.833333,7935,8,11,0,0,1
Mazda,626,20.7195,4.71875,81.375,1950.90625,7893,29,20,0,0,1
Dacia,Sandero,14.04,5.0,66.0,898.0,7873,9,1,0,0,1
Peugeot,807,45.76307692,5.307692308,109.0769231,2053.0,7697,36,11,0,1,0
Peugeot,5008,42.50666667,7.142857143,99.52380952,1294.142857,7580,36,4,0,0,1
Mitsubishi,ASX,33.40333333,0.0,110.0,1998.0,7505,32,4,0,0,1
Porsche,Cayman,84.60125,6.5,220.5,3071.0,7308,37,8,0,0,1
Chrysler,300C,70.31925,4.5,199.0,4123.5,7248,7,8,0,0,1
Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,7245,30,20,0,0,1
Honda,Insight,24.612,0.0,72.0,1339.0,7191,18,5,0,0,1
Dacia,Duster,20.75666667,5.666666667,89.33333333,1332.0,7083,9,1,0,0,1
Lexus,CT,32.73833333,0.0,100.0,1798.0,7007,25,3,0,0,1
Peugeot,1007,18.657,5.0,59.58333333,1407.333333,6818,36,8,0,0,1
Peugeot,508,46.85390244,7.707317073,125.0487805,1642.04878,6807,36,2,0,1,0
Citroen,Xantia,24.84390244,4.756097561,84.92682927,1982.756098,6784,8,20,0,0,1
Peugeot,RCZ,38.93888889,6.0,135.5555556,1642.333333,6705,36,4,0,0,1
Nissan,350Z,55.4225,6.0,221.0,3498.0,6667,34,10,0,0,1
Mazda,Demio,14.7754,4.8,51.4,1428.4,6440,29,15,0,0,1
Honda,S2000,55.25,6.0,177.0,1997.0,6373,18,14,0,0,1
Mercedes,190,36.64326667,4.466666667,88.73333333,2284.133333,6271,30,20,0,0,1
Hyundai,Trajet,30.352,4.4,99.0,2117.6,6220,19,13,0,0,1
Chevrolet,Tacuma,20.20388889,4.777777778,82.33333333,1775.777778,6162,6,8,0,0,1
Alfa-Romeo,GT,37.350625,5.375,121.0625,1972.8125,6156,1,9,0,0,1
Mazda,Premacy,23.22409091,4.909090909,82.0,1938.0,6149,29,14,0,0,1
Citroen,ZX,16.05676923,4.923076923,67.0,1703.153846,6109,8,20,0,0,1
Volvo,V60,50.48413043,7.304347826,150.6086957,1969.0,5990,51,3,0,1,0
Fiat,Brava,17.22277778,4.888888889,70.0,1615.333333,5986,16,18,0,0,1
Audi,S4,95.29916667,6.333333333,253.6666667,3764.333333,5891,3,12,0,0,1
BMW,X6,125.49625,8.0,282.25,3344.75,5813,4,5,0,0,1
Subaru,Outback,53.62733333,0.0,122.6666667,2331.333333,5794,45,9,0,0,1
Dodge,Caliber,26.59125,4.125,108.625,1911.75,5647,14,8,0,0,1
Ford,Maverick,29.151,5.0,89.0,2526.5,5423,17,20,0,0,1
Rover,Streetwise,20.74,5.0,75.0,1695.0,5420,39,11,0,0,1
Rover,CityRover,11.74,5.0,63.0,1405.0,5352,39,10,0,0,1
Kia,Cerato,19.895,4.8,94.0,1742.6,5257,21,9,0,0,1
Lotus,Elise,53.792,6.0,134.3333333,1730.0,5139,26,16,0,0,1
Ford,Cougar,32.11766667,4.666666667,115.3333333,2362.0,4826,17,15,0,0,1
Smart,Roadster-coupe,24.35,6.0,60.0,698.0,4793,43,10,0,0,1
Aston-Martin,Vantage,360.755,6.0,410.0,5341.0,4742,2,8,0,0,1
Hyundai,I40,35.535,6.0,93.6,1647.4,4674,19,2,0,1,0
Chevrolet,Cruze,28.17,5.583333333,103.0,1706.333333,4635,6,4,0,0,1
Seat,Exeo,33.8615625,5.375,116.25,1925.25,4528,41,4,0,0,1
Toyota,Urban,20.21333333,6.0,74.0,1329.0,4357,48,5,0,0,1
Seat,Mii,11.917,5.0,49.13333333,999.0,4327,41,2,0,0,1
Audi,A7,87.12,8.0,190.0,2967.0,4278,3,3,0,1,0
Peugeot,405,20.43008333,4.791666667,69.875,1773.0,4216,36,20,0,0,1
Abarth,500C,21.105625,5.0,60.625,1039.5,4182,0,4,0,0,1
Volkswagen,Transporter,35.37645833,6.0,103.0833333,1968.0,4174,50,6,0,1,0
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,4173,1,20,0,0,1
Citroen,DS4,31.1275,5.75,105.25,1688.25,4162,8,2,0,0,1
Toyota,Picnic,25.29875,4.5,94.0,1998.0,4107,48,17,0,0,1
Mercedes,Viano,57.22905851,5.234042553,120.4255319,2309.340426,4067,30,24,0,1,0
Fiat,Ulysse,36.70125,4.875,91.75,2019.75,4044,16,17,0,0,1
Ford,Sierra,18.2955625,4.875,70.25,1836.5,3934,17,20,0,0,1
Aston-Martin,DB9,273.755,6.0,381.0,5935.0,3819,2,9,0,0,1
Audi,80,27.09825,4.666666667,91.75,2247.333333,3785,3,20,0,0,1
Chrysler,Neon,19.71783333,4.0,98.0,1995.0,3772,7,18,0,0,1
Hyundai,Terracan,44.62833333,4.333333333,127.6666667,3100.333333,3711,19,10,0,1,0
BMW,M550i,134.789,8.0,390.0,4395.0,3667,4,20,0,0,1
Kia,Magentis,28.803,4.8,111.2,2126.8,3662,21,11,0,0,1
Citroen,AX,10.83275,5.0,45.0,1242.0,3591,8,20,0,0,1
Audi,RS4,121.77,6.666666667,316.3333333,3740.0,3495,3,8,0,0,1
Renault,Captur,27.94142857,6.214285714,93.35714286,1235.428571,3476,38,1,0,0,1
Mitsubishi,Grandis,30.839,4.6,121.0,2378.0,3453,32,8,0,0,1
Chrysler,Crossfire,56.15916667,5.5,174.3333333,3199.0,3447,7,10,0,0,1
Honda,CR-Z,27.12333333,6.0,101.0,1497.0,3429,18,4,0,0,1
Mercedes,R,88.77777778,7.0,190.0,3377.444444,3425,30,7,0,0,1
Honda,Stream,27.935,5.0,103.5,1833.0,3415,18,12,0,0,1
Fiat,Idea,20.31264706,5.352941176,63.29411765,1344.823529,3343,16,9,0,1,0
Honda,Prelude,27.78966667,4.666666667,110.6666667,2050.333333,3339,18,20,0,0,1
Hyundai,Elantra,19.055,4.6,89.2,1827.8,3183,19,13,0,0,1
Peugeot,607,48.09553571,5.107142857,117.7857143,2315.0,3179,36,12,0,0,1
Ssangyong,Rexton,54.2675,5.666666667,114.0,1998.0,3163,44,9,0,1,0
Volkswagen,CC,46.95322222,6.111111111,126.7777778,1977.166667,3126,50,1,0,1,0
Mini,Roadster,32.65836364,6.0,101.8181818,1424.727273,2976,31,2,0,0,1
Peugeot,806,29.57028571,5.0,84.0,1997.142857,2975,36,18,0,1,0
Saab,9000,41.616,4.6,125.36,2336.52,2948,40,20,0,0,1
Audi,S5,105.465,8.0,257.5,2981.0,2930,3,5,0,0,1
Citroen,Nemo,13.44125,5.0,54.5,1304.0,2918,8,5,0,0,1
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,2893,32,49,0,0,1
Hyundai,Sonata,31.7425,4.833333333,119.6666667,2116.0,2851,19,20,0,0,1
Ford,Capri,11.7129,4.0,69.0,1864.8,2795,17,20,0,0,1
Fiat,Sedici,21.91166667,4.666666667,88.0,1586.0,2784,16,7,0,0,1
Alfa-Romeo,Brera,53.10142857,6.0,163.7142857,2679.285714,2758,1,6,0,0,1
Porsche,944,59.4905,5.0,137.5,2734.5,2702,37,20,0,0,1
Seat,Cordoba,17.31241935,4.967741935,66.35483871,1655.741935,2695,41,19,0,0,1
Citroen,C-Crosser,35.72526667,4.4,121.0,2287.6,2693,8,5,0,0,1
